car_name,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
"amc,rebel,sst",8,304.0,150.0,3433,12.0,70,1,16.0
"datsun,pl510",4,97.0,88.0,2130,14.5,70,3,27.0
"mazda,glc,custom,l",4,91.0,68.0,2025,18.2,82,3,37.0
"honda,civic,cvcc",4,91.0,60.0,1800,16.4,78,3,36.1
"audi,100ls",4,115.0,95.0,2694,15.0,75,2,23.0
"pontiac,catalina",8,400.0,175.0,4385,12.0,72,1,14.0
"mazda,glc,deluxe",4,78.0,52.0,1985,19.4,78,3,32.8
"ford,escort,2h",4,98.0,65.0,2380,20.7,81,1,29.9
"toyota,carina",4,97.0,88.0,2279,19.0,73,3,20.0
"mazda,rx-7,gs",3,70.0,100.0,2420,12.5,80,3,23.7
"opel,manta",4,116.0,75.0,2158,15.5,73,2,24.0
"renault,5,gtl",4,79.0,58.0,1825,18.6,77,2,36.0
"toyota,mark,ii",6,156.0,108.0,2930,15.5,76,3,19.0
"plymouth,horizon,miser",4,105.0,63.0,2125,14.7,82,1,38.0
"dodge,aries,se",4,135.0,84.0,2525,16.0,82,1,29.0
"pontiac,lemans,v6",6,231.0,115.0,3245,15.4,79,1,21.5
"dodge,colt",4,156.0,105.0,2800,14.4,80,1,27.9
"plymouth,satellite,custom,(sw)",8,318.0,150.0,4077,14.0,72,1,14.0
"ford,fiesta",4,98.0,66.0,1800,14.4,78,1,36.1
"datsun,610",4,108.0,94.0,2379,16.5,73,3,22.0
"amc,hornet",6,199.0,97.0,2774,15.5,70,1,18.0
"amc,ambassador,sst",8,304.0,150.0,3672,11.5,72,1,17.0
"chevrolet,nova",6,250.0,105.0,3459,16.0,75,1,18.0
"volkswagen,1131,deluxe,sedan",4,97.0,46.0,1835,20.5,70,2,26.0
"buick,century,luxus,(sw)",8,350.0,150.0,4699,14.5,74,1,13.0
"volkswagen,jetta",4,105.0,74.0,2190,14.2,81,2,33.0
"datsun,210,mpg",4,85.0,65.0,1975,19.4,81,3,37.0
"toyota,corolla,1200",4,71.0,65.0,1836,21.0,74,3,32.0
"fiat,131",4,107.0,86.0,2464,15.5,76,2,28.0
"chevrolet,malibu,classic,(sw)",8,267.0,125.0,3605,15.0,79,1,19.2
"honda,civic,(auto)",4,91.0,67.0,1965,15.7,82,3,32.0
"amc,spirit,dl",4,121.0,80.0,2670,15.0,79,1,27.4
"chevrolet,vega",4,140.0,90.0,2408,19.5,72,1,20.0
"renault,12,(sw)",4,96.0,69.0,2189,18.0,72,2,26.0
"dodge,aspen,6",6,225.0,110.0,3360,16.6,79,1,20.6
"fiat,strada,custom",4,91.0,69.0,2130,14.7,79,2,37.3
"peugeot,604sl",6,163.0,133.0,3410,15.8,78,2,16.2
"chevrolet,bel,air",8,350.0,145.0,4440,14.0,75,1,15.0
"chevrolet,vega",4,140.0,72.0,2401,19.5,73,1,21.0
"ford,maverick",6,200.0,85.0,2587,16.0,70,1,21.0
"chevrolet,malibu",6,200.0,95.0,3155,18.2,78,1,20.5
"amc,gremlin",6,199.0,90.0,2648,15.0,70,1,21.0
"toyota,cressida",6,168.0,116.0,2900,12.6,81,3,25.4
"mazda,glc,4",4,91.0,68.0,1985,16.0,81,3,34.1
"chevrolet,camaro",4,151.0,90.0,2950,17.3,82,1,27.0
"mercury,lynx,l",4,98.0,70.0,2125,17.3,82,1,36.0
"mazda,626",4,120.0,74.0,2635,18.3,81,3,31.6
"toyota,corolla,tercel",4,89.0,60.0,1968,18.8,80,3,38.1
"datsun,710",4,83.0,61.0,2003,19.0,74,3,32.0
"datsun,210",4,85.0,65.0,2110,19.2,80,3,40.8
"amc,pacer",6,232.0,90.0,3211,17.0,75,1,19.0
"audi,100ls",4,114.0,91.0,2582,14.0,73,2,20.0
"chevrolet,nova",6,250.0,105.0,3353,14.5,76,1,22.0
"amc,pacer,d/l",6,258.0,95.0,3193,17.8,76,1,17.5
"honda,civic,1300",4,81.0,60.0,1760,16.1,81,3,35.1
"chevrolet,chevette",4,98.0,63.0,2051,17.0,77,1,30.5
"honda,prelude",4,107.0,75.0,2210,14.4,81,3,33.7
"ford,torino,500",6,250.0,88.0,3302,15.5,71,1,19.0
"ford,gran,torino,(sw)",8,302.0,140.0,4638,16.0,74,1,14.0
"ford,country,squire,(sw)",8,351.0,142.0,4054,14.3,79,1,15.5
"ford,maverick",6,250.0,72.0,3158,19.5,75,1,15.0
"amc,hornet",6,232.0,90.0,3085,17.6,76,1,22.5
"chevrolet,chevette",4,85.0,52.0,2035,22.2,76,1,29.0
"maxda,rx3",3,70.0,90.0,2124,13.5,73,3,18.0
"plymouth,arrow,gs",4,122.0,96.0,2300,15.5,77,1,25.5
"datsun,710",4,119.0,97.0,2545,17.0,75,3,24.0
"mercury,grand,marquis",8,351.0,138.0,3955,13.2,79,1,16.5
"audi,5000",5,131.0,103.0,2830,15.9,78,2,20.3
subaru,4,108.0,93.0,2391,15.5,74,3,26.0
"dodge,challenger,se",8,383.0,170.0,3563,10.0,70,1,15.0
"subaru,dl",4,97.0,67.0,2145,18.0,80,3,33.8
"chevrolet,impala",8,400.0,150.0,4997,14.0,73,1,11.0
"datsun,510,(sw)",4,97.0,92.0,2288,17.0,72,3,28.0
"plymouth,volare,custom",6,225.0,100.0,3630,17.7,77,1,19.0
"subaru,dl",4,97.0,67.0,1985,16.4,77,3,30.0
"mercedes-benz,280s",6,168.0,120.0,3820,16.7,76,2,16.5
"toyota,corolla",4,97.0,75.0,2171,16.0,75,3,29.0
"chevrolet,monza,2+2",8,262.0,110.0,3221,13.5,75,1,20.0
"dodge,coronet,custom",8,318.0,150.0,3777,12.5,73,1,15.0
"dodge,magnum,xe",8,318.0,140.0,4080,13.7,78,1,17.5
"plymouth,fury",6,225.0,95.0,3785,19.0,75,1,18.0
"fiat,128",4,90.0,75.0,2108,15.5,74,2,24.0
"amc,concord,dl,6",6,232.0,90.0,3265,18.2,79,1,20.2
"ford,ltd",8,351.0,158.0,4363,13.0,73,1,13.0
"oldsmobile,delta,88,royale",8,350.0,160.0,4456,13.5,72,1,12.0
"toyota,mark,ii",6,156.0,122.0,2807,13.5,73,3,20.0
"amc,ambassador,brougham",8,360.0,175.0,3821,11.0,73,1,13.0
"opel,manta",4,97.0,78.0,2300,14.5,74,2,26.0
"plymouth,horizon,tc3",4,105.0,70.0,2150,14.9,79,1,34.5
"plymouth,valiant",6,225.0,105.0,3121,16.5,73,1,18.0
"ford,granada",6,250.0,98.0,3525,19.0,77,1,18.5
"buick,lesabre,custom",8,350.0,155.0,4502,13.5,72,1,13.0
"bmw,2002",4,121.0,113.0,2234,12.5,70,2,26.0
"amc,matador",6,232.0,100.0,3288,15.5,71,1,18.0
"toyota,corona",4,76.0,52.0,1649,16.5,74,3,31.0
"saab,99le",4,121.0,110.0,2660,14.0,73,2,24.0
"dodge,diplomat",8,318.0,140.0,3735,13.2,78,1,19.4
"datsun,200sx",4,119.0,100.0,2615,14.8,81,3,32.9
"volkswagen,scirocco",4,89.0,71.0,1990,14.9,78,2,31.5
"dodge,aspen",6,225.0,90.0,3381,18.7,80,1,19.1
"ford,maverick",6,200.0,81.0,3012,17.6,76,1,24.0
"plymouth,duster",6,198.0,95.0,3102,16.5,74,1,20.0
